name,brand,accords,ratingValue,ratingCount,seasons,timeOfDay,gender,priceValue,notesBreakdown
Leather Eau de Parfum,Acqua di Parma,"{'leather': 1.0, 'woody': 0.905894, 'citrus': 0.668478, 'animalic': 0.659057, 'fruity': 0.648777, 'smoky': 0.582447, 'rose': 0.5680080000000001, 'sweet': 0.566785, 'aromatic': 0.531051}",4.07,664,"{'winter': 1.0, 'spring': 0.41542999999999997, 'summer': 0.16617200000000001, 'fall': 0.925816}","{'day': 0.47180999999999995, 'night': 0.84273}","{'female': 9, 'more female': 2, 'unisex': 59, 'more male': 101, 'male': 238}","{'way overpriced': 50, 'overpriced': 107, 'ok': 165, 'good value': 30, 'great value': 4}","{'topnotes': ['Raspberry', 'Brazilian Orange', 'Sicilian Lemon'], 'midnotes': ['Rose', 'Red Thyme', 'Honeysuckle', 'Petitgrain'], 'bottomnotes': ['Leather', 'Guaiac Wood', 'Cedar']}"
Acqua di Parma Blu Mediterraneo Arancia di Capri,Acqua di Parma,{'citrus': 1.0},4.15,"3,234","{'winter': 0.0541221, 'spring': 0.48332299999999995, 'summer': 1.0, 'fall': 0.10698600000000001}","{'day': 0.8691, 'night': 0.10698600000000001}","{'female': 52, 'more female': 111, 'unisex': 778, 'more male': 161, 'male': 53}","{'way overpriced': 85, 'overpriced': 301, 'ok': 444, 'good value': 123, 'great value': 17}","{'topnotes': ['Lemon', 'Bergamot', 'Sicilian Mandarin', 'Orange'], 'midnotes': ['Cardamom', 'Petitgrain'], 'bottomnotes': ['Caramel', 'Musk']}"
Colonia Oud,Acqua di Parma,"{'woody': 1.0, 'citrus': 0.912781, 'oud': 0.8412109999999999, 'leather': 0.807668, 'aromatic': 0.75198, 'fresh spicy': 0.638149, 'animalic': 0.577314, 'powdery': 0.538403, 'balsamic': 0.486965, 'musky': 0.456547}",4.20,"1,002","{'winter': 0.909756, 'spring': 0.660976, 'summer': 0.304878, 'fall': 1.0}","{'day': 0.687805, 'night': 0.912195}","{'female': 6, 'more female': 1, 'unisex': 49, 'more male': 99, 'male': 140}","{'way overpriced': 26, 'overpriced': 80, 'ok': 117, 'good value': 29, 'great value': 10}","{'topnotes': ['Italian Orange', 'Calabrian bergamot'], 'midnotes': ['Agarwood (Oud)', 'Coriander', 'Amyris'], 'bottomnotes': ['Indonesian Patchouli Leaf', 'Leather', 'Musk', 'Atlas Cedar', 'Sandalwood']}"
Sandalo Eau de Parfum,Acqua di Parma,"{'citrus': 1.0, 'aromatic': 0.889293, 'woody': 0.810969, 'warm spicy': 0.7878409999999999, 'lavender': 0.682376, 'amber': 0.628412, 'fresh spicy': 0.607138, 'powdery': 0.585242, 'vanilla': 0.48532800000000004, 'sweet': 0.48193600000000003}",3.97,545,"{'winter': 0.813559, 'spring': 0.7796609999999999, 'summer': 0.398305, 'fall': 1.0}","{'day': 0.8559319999999999, 'night': 0.775424}","{'female': 2, 'more female': 2, 'unisex': 64, 'more male': 106, 'male': 130}","{'way overpriced': 39, 'overpriced': 97, 'ok': 102, 'good value': 14, 'great value': 5}","{'topnotes': ['Lemon', 'Orange', 'Petitgrain', 'Calabrian bergamot'], 'midnotes': ['Lavender', 'Cardamom'], 'bottomnotes': ['Tonka Bean', 'Sandalwood', 'Amber']}"
Mandarino di Sicilia,Acqua di Parma,"{'citrus': 1.0, 'green': 0.577796, 'fresh spicy': 0.48607799999999995}",4.34,317,"{'winter': 0.09743589999999999, 'spring': 0.738462, 'summer': 1.0, 'fall': 0.138462}","{'day': 0.8512820000000001, 'night': 0.14359}","{'female': 6, 'more female': 4, 'unisex': 124, 'more male': 47, 'male': 10}","{'way overpriced': 5, 'overpriced': 64, 'ok': 73, 'good value': 19, 'great value': 2}","{'topnotes': ['Lemon', 'Green Mandarin', 'Blood Orange', 'Bergamot'], 'midnotes': ['Spearmint', 'Petitgrain'], 'bottomnotes': ['Musk', 'Cedar', 'Patchouli']}"
Acqua di Parma Blu Mediterraneo - Cipresso di Toscana,Acqua di Parma,"{'aromatic': 1.0, 'woody': 0.850951, 'fresh spicy': 0.606832, 'green': 0.464758, 'herbal': 0.45219299999999996}",3.96,869,"{'winter': 0.132316, 'spring': 0.778626, 'summer': 1.0, 'fall': 0.5038170000000001}","{'day': 0.946565, 'night': 0.211196}","{'female': 6, 'more female': 5, 'unisex': 88, 'more male': 131, 'male': 109}","{'way overpriced': 19, 'overpriced': 52, 'ok': 139, 'good value': 60, 'great value': 9}","{'topnotes': ['Sage', 'Basil', 'Rosemary', 'Grapefruit', 'Petitgrain'], 'midnotes': ['Jasmine', 'Lily-of-the-Valley', 'Pine Tree', 'Lavender', 'Coriander', 'Cardamom'], 'bottomnotes': ['Cedar', 'Cypress', 'Silver Pine', 'Patchouli', 'Oakmoss', 'Vetiver']}"
Quercia Eau de Parfum,Acqua di Parma,"{'aromatic': 1.0, 'citrus': 0.973623, 'woody': 0.920389, 'warm spicy': 0.8253910000000001, 'mossy': 0.698836, 'fresh spicy': 0.696635, 'earthy': 0.6620910000000001, 'patchouli': 0.50727, 'soft spicy': 0.498162, 'vanilla': 0.48465800000000003}",4.01,516,"{'winter': 0.6328119999999999, 'spring': 0.8789060000000001, 'summer': 0.574219, 'fall': 1.0}","{'day': 0.8945310000000001, 'night': 0.671875}","{'female': 6, 'more female': 4, 'unisex': 61, 'more male': 134, 'male': 123}","{'way overpriced': 26, 'overpriced': 112, 'ok': 109, 'good value': 17, 'great value': 6}","{'topnotes': ['Lemon', 'Petitgrain', 'Pink Pepper', 'Calabrian bergamot'], 'midnotes': ['Cedar', 'Cardamom', 'Geranium'], 'bottomnotes': ['Patchouli', 'Tonka Bean', 'Moss']}"
Bergamotto di Calabria La Spugnatura,Acqua di Parma,"{'citrus': 1.0, 'fresh spicy': 0.6570010000000001, 'aromatic': 0.526723}",4.11,227,"{'winter': 0.026087, 'spring': 0.634783, 'summer': 1.0, 'fall': 0.104348}","{'day': 0.878261, 'night': 0.121739}","{'female': 7, 'more female': 8, 'unisex': 88, 'more male': 23, 'male': 5}","{'way overpriced': 14, 'overpriced': 28, 'ok': 56, 'good value': 9, 'great value': 3}","{'topnotes': ['Bergamot'], 'midnotes': ['Grapefruit', 'Mandarin Orange', 'Orange'], 'bottomnotes': ['Geranium', 'Fennel']}"
Osmanthus Eau de Parfum,Acqua di Parma,"{'floral': 1.0, 'fruity': 0.659637, 'citrus': 0.6043999999999999, 'fresh': 0.5964079999999999, 'soft spicy': 0.473942}",3.86,647,"{'winter': 0.175, 'spring': 1.0, 'summer': 0.958333, 'fall': 0.358333}","{'day': 0.979167, 'night': 0.291667}","{'female': 88, 'more female': 82, 'unisex': 114, 'more male': 8, 'male': 3}","{'way overpriced': 38, 'overpriced': 109, 'ok': 75, 'good value': 9, 'great value': 6}","{'topnotes': ['Green Mandarin', 'Neroli'], 'midnotes': ['Peony', 'Pink Pepper', 'Ambrette (Musk Mallow)'], 'bottomnotes': ['Patchouli', 'Osmanthus']}"
Acqua di Parma Colonia Pura,Acqua di Parma,"{'citrus': 1.0, 'ozonic': 0.6990850000000001, 'aromatic': 0.647625, 'fresh spicy': 0.5597249999999999, 'green': 0.539323, 'white floral': 0.534061, 'woody': 0.521421, 'musky': 0.519433, 'yellow floral': 0.485812, 'powdery': 0.463356}",4.01,"1,304","{'winter': 0.09667669999999999, 'spring': 0.850453, 'summer': 1.0, 'fall': 0.23716}","{'day': 0.9425979999999999, 'night': 0.170695}","{'female': 10, 'more female': 14, 'unisex': 212, 'more male': 208, 'male': 108}","{'way overpriced': 26, 'overpriced': 112, 'ok': 256, 'good value': 70, 'great value': 16}","{'topnotes': ['Ozonic notes', 'Petitgrain', 'Bergamot', 'Orange'], 'midnotes': ['Jasmine Sambac', 'Coriander', 'Narcissus'], 'bottomnotes': ['White Musk', 'Cedar', 'Patchouli']}"
Chinotto di Liguria,Acqua di Parma,"{'aromatic': 1.0, 'citrus': 0.902282, 'fresh spicy': 0.718597, 'warm spicy': 0.579365, 'woody': 0.525611, 'musky': 0.523491, 'white floral': 0.500653}",3.89,798,"{'winter': 0.0818859, 'spring': 0.8138960000000001, 'summer': 1.0, 'fall': 0.255583}","{'day': 0.9379649999999999, 'night': 0.20347400000000002}","{'female': 8, 'more female': 22, 'unisex': 178, 'more male': 118, 'male': 38}","{'way overpriced': 23, 'overpriced': 50, 'ok': 143, 'good value': 58, 'great value': 13}","{'topnotes': ['Chinotto', 'Mandarin Orange'], 'midnotes': ['Jasmine', 'Rosemary', 'Geranium', 'Cardamom'], 'bottomnotes': ['Musk', 'Patchouli']}"
Ambra Eau de Parfum,Acqua di Parma,"{'woody': 1.0, 'amber': 0.7822, 'citrus': 0.685961, 'powdery': 0.599853, 'animalic': 0.562576, 'musky': 0.549609, 'balsamic': 0.5411, 'warm spicy': 0.456003, 'earthy': 0.452764, 'rose': 0.45114400000000004}",3.88,238,"{'winter': 0.8679250000000001, 'spring': 0.575472, 'summer': 0.25471699999999997, 'fall': 1.0}","{'day': 0.603774, 'night': 0.792453}","{'female': 2, 'more female': 3, 'unisex': 43, 'more male': 46, 'male': 38}","{'way overpriced': 23, 'overpriced': 36, 'ok': 40, 'good value': 7, 'great value': 3}","{'topnotes': ['Petitgrain', 'Calabrian bergamot', 'Orange'], 'midnotes': ['Rose', 'Cedar', 'Cypriol Oil or Nagarmotha', 'Patchouli'], 'bottomnotes': ['Labdanum', 'Ambergris', 'Musk', 'Vanilla', 'Sandalwood']}"
Colonia Il Profumo,Acqua di Parma,"{'citrus': 1.0, 'woody': 0.6829000000000001, 'aromatic': 0.618157, 'fresh spicy': 0.516157, 'sweet': 0.481012, 'earthy': 0.452736}",4.39,49,"{'winter': 0.0666667, 'spring': 1.0, 'summer': 0.933333, 'fall': 0.433333}","{'day': 0.933333, 'night': 0.3}","{'female': 3, 'more female': 1, 'unisex': 8, 'more male': 12, 'male': 9}","{'way overpriced': 4, 'overpriced': 5, 'ok': 8, 'good value': 4, 'great value': 2}","{'topnotes': ['Pineapple', 'Lemon', 'Bergamot', 'Petitgrain', 'Orange'], 'midnotes': ['Rose', 'Lavender', 'Verbena', 'Ylang-Ylang', 'Neroli'], 'bottomnotes': ['Vetiver', 'Cedar', 'Moss', 'Leather', 'Sandalwood', 'Patchouli']}"
Colonia Ambra,Acqua di Parma,"{'amber': 1.0, 'musky': 0.982279, 'marine': 0.863692, 'animalic': 0.822339, 'powdery': 0.641137, 'aromatic': 0.617214, 'salty': 0.581475, 'balsamic': 0.510001, 'aquatic': 0.458609}",4.08,605,"{'winter': 0.736842, 'spring': 0.652632, 'summer': 0.33157899999999996, 'fall': 1.0}","{'day': 0.768421, 'night': 0.852632}","{'female': 3, 'more female': 0, 'unisex': 50, 'more male': 53, 'male': 41}","{'way overpriced': 11, 'overpriced': 31, 'ok': 57, 'good value': 18, 'great value': 3}","{'topnotes': ['Musk', 'Ambergris', 'Sea Notes'], 'midnotes': [], 'bottomnotes': []}"
Colonia Leather Eau de Cologne Concentrée,Acqua di Parma,"{'leather': 1.0, 'woody': 0.7490439999999999, 'animalic': 0.652102, 'citrus': 0.6443049999999999, 'smoky': 0.56607, 'rose': 0.558362}",4.42,"1,526","{'winter': 0.9110320000000001, 'spring': 0.6690389999999999, 'summer': 0.261566, 'fall': 1.0}","{'day': 0.74911, 'night': 0.9021349999999999}","{'female': 7, 'more female': 6, 'unisex': 55, 'more male': 81, 'male': 251}","{'way overpriced': 32, 'overpriced': 105, 'ok': 149, 'good value': 48, 'great value': 15}","{'topnotes': ['Raspberry', 'Brazilian Orange', 'Sicilian Lemon'], 'midnotes': ['Rose', 'Red Thyme', 'Petitgrain Paraguay', 'Honeysuckle'], 'bottomnotes': ['Leather', 'Guaiac Wood', 'Atlas Cedar']}"
Acqua di Parma Blu Mediterraneo - Arancia La Spugnatura,Acqua di Parma,"{'citrus': 1.0, 'fresh spicy': 0.469615, 'sweet': 0.463559}",4.09,229,"{'winter': 0.08955220000000001, 'spring': 0.69403, 'summer': 1.0, 'fall': 0.186567}","{'day': 0.865672, 'night': 0.20895499999999997}","{'female': 3, 'more female': 12, 'unisex': 95, 'more male': 28, 'male': 10}","{'way overpriced': 24, 'overpriced': 59, 'ok': 31, 'good value': 7, 'great value': 4}","{'topnotes': ['Lemon', 'Sicilian Orange', 'Mandarin Orange'], 'midnotes': ['Bitter Almond', 'Black Pepper'], 'bottomnotes': ['Musk', 'Cedar']}"
Yuzu Eau de Parfum,Acqua di Parma,"{'citrus': 1.0, 'floral': 0.770694, 'fresh spicy': 0.640677, 'green': 0.572122, 'ozonic': 0.557016, 'aquatic': 0.5508460000000001, 'powdery': 0.545591, 'sweet': 0.524315, 'yellow floral': 0.5127579999999999}",3.77,549,"{'winter': 0.130612, 'spring': 0.922449, 'summer': 1.0, 'fall': 0.236735}","{'day': 0.946939, 'night': 0.159184}","{'female': 21, 'more female': 42, 'unisex': 189, 'more male': 20, 'male': 5}","{'way overpriced': 53, 'overpriced': 97, 'ok': 68, 'good value': 6, 'great value': 4}","{'topnotes': ['Sichuan Pepper', 'Yuzu', 'Calabrian bergamot'], 'midnotes': ['Mimosa', 'Jasmine', 'Lotus', 'Violet Leaf'], 'bottomnotes': ['Musk', 'Licorice', 'Sandalwood']}"
Colonia Intensa,Acqua di Parma,"{'citrus': 1.0, 'warm spicy': 0.952267, 'aromatic': 0.7360479999999999, 'woody': 0.597806, 'fresh spicy': 0.5739070000000001, 'leather': 0.5193, 'fresh': 0.491909, 'herbal': 0.479889, 'amber': 0.467337}",4.26,"2,059","{'winter': 0.18736799999999998, 'spring': 0.938947, 'summer': 0.953684, 'fall': 0.550526}","{'day': 1.0, 'night': 0.368421}","{'female': 7, 'more female': 1, 'unisex': 103, 'more male': 233, 'male': 350}","{'way overpriced': 21, 'overpriced': 130, 'ok': 329, 'good value': 113, 'great value': 19}","{'topnotes': ['Sicilian Lemon', 'Ginger', 'Cardamom', 'Calabrian bergamot'], 'midnotes': ['Myrtle', 'Artemisia', 'Neroli'], 'bottomnotes': ['Benzoin', 'Cedar', 'Leather', 'Musk', 'Patchouli']}"
Sakura Eau de Parfum,Acqua di Parma,"{'floral': 1.0, 'citrus': 0.7250920000000001, 'musky': 0.6919249999999999, 'fresh': 0.632132, 'white floral': 0.5382370000000001, 'fruity': 0.5223559999999999, 'powdery': 0.49666400000000005}",3.96,423,"{'winter': 0.115607, 'spring': 1.0, 'summer': 0.815029, 'fall': 0.248555}","{'day': 0.867052, 'night': 0.184971}","{'female': 76, 'more female': 39, 'unisex': 58, 'more male': 6, 'male': 2}","{'way overpriced': 44, 'overpriced': 49, 'ok': 40, 'good value': 4, 'great value': 7}","{'topnotes': ['Yellow Mandarin', 'Pink Pepper', 'Calabrian bergamot'], 'midnotes': ['Jasmine Sambac', 'Cherry Blossom'], 'bottomnotes': ['Musk']}"
Vaniglia Eau de Parfum,Acqua di Parma,"{'vanilla': 1.0, 'powdery': 0.8685930000000001, 'citrus': 0.654321, 'white floral': 0.57168, 'musky': 0.518253, 'woody': 0.506568, 'floral': 0.493017, 'almond': 0.4671}",4.07,530,"{'winter': 0.9336490000000001, 'spring': 0.706161, 'summer': 0.41232199999999997, 'fall': 1.0}","{'day': 0.805687, 'night': 0.8009480000000001}","{'female': 38, 'more female': 42, 'unisex': 169, 'more male': 22, 'male': 8}","{'way overpriced': 44, 'overpriced': 86, 'ok': 78, 'good value': 15, 'great value': 4}","{'topnotes': ['Mandarin Orange', 'Heliotrope', 'Neroli', 'Calabrian bergamot'], 'midnotes': ['Vanilla', 'Jasmine Sambac'], 'bottomnotes': ['Musk', 'Cedar']}"
Cedro di Taormina,Acqua di Parma,"{'woody': 1.0, 'fresh spicy': 0.9841630000000001, 'aromatic': 0.952056, 'citrus': 0.9066259999999999, 'green': 0.605996, 'lavender': 0.595958, 'fresh': 0.584709, 'herbal': 0.514611}",4.17,710,"{'winter': 0.09215020000000002, 'spring': 0.822526, 'summer': 1.0, 'fall': 0.368601}","{'day': 1.0, 'night': 0.259386}","{'female': 1, 'more female': 1, 'unisex': 44, 'more male': 59, 'male': 38}","{'way overpriced': 4, 'overpriced': 28, 'ok': 69, 'good value': 15, 'great value': 1}","{'topnotes': ['Basil', 'Petitgrain', 'Citruses'], 'midnotes': ['Lavender', 'Black Pepper'], 'bottomnotes': ['Labdanum', 'Virginian Cedar', 'Vetiver']}"
Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna,Acqua di Parma,"{'fresh spicy': 1.0, 'aromatic': 0.7950790000000001, 'woody': 0.776241}",4.19,913,"{'winter': 0.185984, 'spring': 0.846361, 'summer': 0.9487869999999999, 'fall': 0.44474400000000003}","{'day': 1.0, 'night': 0.32614600000000005}","{'female': 2, 'more female': 5, 'unisex': 73, 'more male': 64, 'male': 33}","{'way overpriced': 3, 'overpriced': 35, 'ok': 79, 'good value': 17, 'great value': 7}","{'topnotes': ['Bergamot', 'Pepper', 'Allspice', 'Juniper', 'Nutmeg'], 'midnotes': ['Cypress', 'Sage'], 'bottomnotes': ['Virginia Cedar']}"
Lily of the Valley,Acqua di Parma,"{'white floral': 1.0, 'floral': 0.679567, 'citrus': 0.6682250000000001, 'fresh spicy': 0.63793, 'fresh': 0.593277, 'aromatic': 0.578793, 'green': 0.523276, 'fruity': 0.49069, 'woody': 0.442415}",3.56,206,"{'winter': 0.169014, 'spring': 1.0, 'summer': 0.774648, 'fall': 0.28169}","{'day': 0.802817, 'night': 0.239437}","{'female': 47, 'more female': 30, 'unisex': 20, 'more male': 2, 'male': 1}","{'way overpriced': 27, 'overpriced': 26, 'ok': 19, 'good value': 3, 'great value': 0}","{'topnotes': ['Black Currant', 'Grapefruit', 'Bergamot'], 'midnotes': ['Magnolia', 'Jasmine', 'Geranium', 'Lily-of-the-Valley'], 'bottomnotes': ['Musk', 'Cedar']}"
Colonia Essenza Special Edition 2015,Acqua di Parma,"{'citrus': 1.0, 'aromatic': 0.74287, 'white floral': 0.5916669999999999, 'woody': 0.570644, 'fresh spicy': 0.562141, 'earthy': 0.517407, 'green': 0.465518, 'mossy': 0.45209499999999997, 'warm spicy': 0.45209499999999997, 'herbal': 0.442703}",4.45,47,"{'winter': 0.09090909999999999, 'spring': 0.8636360000000001, 'summer': 0.8636360000000001, 'fall': 0.40909100000000004}","{'day': 1.0, 'night': 0.272727}","{'female': 3, 'more female': 0, 'unisex': 2, 'more male': 3, 'male': 6}","{'way overpriced': 1, 'overpriced': 3, 'ok': 3, 'good value': 5, 'great value': 1}","{'topnotes': ['Mandarin Orange', 'Bergamot', 'Grapefruit', 'Petitgrain', 'Orange'], 'midnotes': ['Sage', 'Jasmine', 'Lily-of-the-Valley', 'Rose', 'Rosemary', 'Neroli'], 'bottomnotes': ['Moss', 'Patchouli', 'Musk', 'Amber', 'Cloves', 'Vetiver']}"
Colonia Sandalo Concentrée ,Acqua di Parma,"{'citrus': 1.0, 'aromatic': 0.856928, 'woody': 0.8296089999999999, 'warm spicy': 0.8183400000000001, 'lavender': 0.6653660000000001, 'fresh spicy': 0.594001, 'powdery': 0.592634, 'amber': 0.590246, 'sweet': 0.482511, 'vanilla': 0.452805}",4.27,403,"{'winter': 0.664336, 'spring': 0.9930070000000001, 'summer': 0.615385, 'fall': 1.0}","{'day': 0.965035, 'night': 0.7062940000000001}","{'female': 2, 'more female': 1, 'unisex': 19, 'more male': 44, 'male': 72}","{'way overpriced': 5, 'overpriced': 36, 'ok': 53, 'good value': 20, 'great value': 4}","{'topnotes': ['Lemon', 'Petitgrain', 'Bergamot', 'Orange'], 'midnotes': ['Lavender', 'Cardamom'], 'bottomnotes': ['Tonka Bean', 'Sandalwood', 'Amber']}"
